@relation housing_train_cleaned

@attribute rent numeric
@attribute type {apartment,house,manufactured,townhouse,condo,duplex,flat,cottage/cabin,in-law,loft,land}
@attribute sqfeet numeric
@attribute bedrooms numeric
@attribute bathrooms numeric
@attribute cats_allowed numeric
@attribute dogs_allowed numeric
@attribute smoking_allowed numeric
@attribute wheelchair_access numeric
@attribute electric_vehicle_charge numeric
@attribute comes_furnished numeric
@attribute laundry_options {'laundry on site','w/d hookups','w/d in unit',unknown,'laundry in bldg','no laundry on site'}
@attribute parking_options {'street parking','off-street parking',unknown,carport,'attached garage','detached garage','no parking','valet parking'}
@attribute demand {yes,no,unknown}

@data
935,house,1346,3,1,0,0,1,0,0,0,unknown,unknown,yes
835,house,1056,3,1,0,0,1,0,0,0,unknown,unknown,yes
895,house,1161,3,1.5,0,0,1,0,0,0,unknown,unknown,yes
765,apartment,803,1,1,0,0,1,0,0,0,unknown,unknown,yes
1165,apartment,1572,3,2,1,1,1,0,0,0,'laundry on site','street parking',yes
925,apartment,1418,2,2,1,1,1,0,0,0,'laundry on site','street parking',yes
879,apartment,984,2,2,1,0,1,0,0,0,'w/d hookups',unknown,yes
805,apartment,1056,2,2,1,1,1,0,0,0,'laundry on site',unknown,yes
1046,apartment,1285,2,2,1,1,1,1,0,0,'w/d hookups',unknown,yes
1134,apartment,1360,2,2,1,1,0,0,0,0,unknown,'off-street parking',yes
1055,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',yes
1000,house,1345,4,1,1,1,1,0,0,0,'w/d in unit',unknown,yes
1122,apartment,1107,2,2,1,1,1,0,0,0,'w/d in unit','off-street parking',yes
1300,condo,950,2,1,1,1,0,0,0,0,'w/d in unit','off-street parking',yes
1070,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',yes
790,apartment,927,1,1,1,1,1,0,0,0,'laundry on site','street parking',yes
840,apartment,1133,1,1.5,1,1,1,0,0,0,'laundry on site','street parking',yes
940,apartment,1298,2,2,1,1,1,0,0,0,'laundry on site','street parking',yes
1040,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',yes
855,apartment,1073,2,2,0,0,1,0,0,0,unknown,unknown,yes
1030,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',yes
1335,townhouse,1400,3,2.5,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
785,apartment,851,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
