@relation housing_train_cleaned

@attribute rent numeric
@attribute type {apartment,house,manufactured,townhouse,condo,duplex,flat,cottage/cabin,in-law,loft,land}
@attribute sqfeet numeric
@attribute bedrooms numeric
@attribute bathrooms numeric
@attribute cats_allowed numeric
@attribute dogs_allowed numeric
@attribute smoking_allowed numeric
@attribute wheelchair_access numeric
@attribute electric_vehicle_charge numeric
@attribute comes_furnished numeric
@attribute laundry_options {'laundry on site','w/d hookups','w/d in unit',unknown,'laundry in bldg','no laundry on site'}
@attribute parking_options {'street parking','off-street parking',unknown,carport,'attached garage','detached garage','no parking','valet parking'}
@attribute demand {yes,no,unknown}

@data
800,house,1654,2,1.5,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
700,house,1160,3,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
475,apartment,500,1,1,1,1,1,0,0,0,'laundry on site',carport,yes
968,apartment,171,2,2,1,1,0,1,0,0,'w/d hookups',unknown,yes
1290,apartment,1444,3,2,1,1,0,0,0,1,unknown,'attached garage',yes
950,apartment,650,2,1,0,0,1,0,0,0,'laundry on site',unknown,yes
749,apartment,900,2,1,1,1,0,1,0,0,'w/d in unit','off-street parking',yes
949,apartment,918,2,2,1,1,1,0,0,0,'w/d hookups','street parking',yes
1050,apartment,1000,2,1,0,0,0,0,0,0,'w/d in unit',unknown,yes
875,apartment,1380,2,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
674,apartment,800,2,1,1,1,0,1,0,1,'w/d hookups','off-street parking',yes
1057,apartment,1208,2,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1013,apartment,1248,2,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1155,apartment,1326,3,2,1,1,1,0,0,0,'w/d in unit',unknown,yes
1750,house,2409,4,2,1,1,1,0,0,0,'w/d hookups','attached garage',yes
968,apartment,1117,2,2,1,1,0,1,0,0,'w/d hookups',unknown,yes
838,apartment,850,1,1,1,1,1,0,0,0,'w/d hookups',unknown,yes
905,apartment,1117,2,2,1,1,1,0,0,0,'w/d hookups','no parking',yes
1055,apartment,1033,2,2,1,1,0,0,0,0,'w/d hookups','off-street parking',yes
949,apartment,982,2,2,1,1,1,0,0,0,'w/d hookups','street parking',yes
715,apartment,550,1,1,1,1,1,0,0,0,'laundry on site',unknown,yes
500,apartment,1068,3,2,1,1,1,1,0,0,'w/d hookups',unknown,yes
1215,apartment,1095,2,2,1,1,1,0,0,0,unknown,unknown,yes
659,apartment,600,2,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
803,apartment,783,1,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
968,apartment,1017,2,2,1,1,0,0,1,0,'w/d hookups',unknown,yes
1000,house,1122,3,2,1,1,0,0,0,0,'w/d hookups','off-street parking',yes
799,apartment,900,2,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
950,apartment,1470,3,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1170,apartment,1326,3,2,1,1,1,0,0,0,'w/d in unit',unknown,yes
700,apartment,733,2,2,1,1,1,1,1,1,unknown,unknown,yes
799,apartment,900,2,2,1,1,0,1,0,0,'laundry on site','off-street parking',yes
529,house,1788,3,2,1,1,1,0,0,0,'w/d hookups','attached garage',yes
899,apartment,1000,2,2,1,1,1,0,0,0,'w/d hookups',unknown,yes
700,apartment,1100,2,2,0,0,1,0,0,0,'w/d in unit',unknown,yes
849,apartment,1150,2,2,1,1,0,0,0,0,'w/d hookups',unknown,yes
1003,apartment,1168,2,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
555,apartment,730,1,1,1,1,0,0,0,0,'laundry on site',unknown,yes
1528,apartment,1377,3,2,1,1,1,0,0,0,'w/d in unit',unknown,yes
1005,apartment,1033,2,2,1,1,0,0,0,0,'w/d hookups','off-street parking',yes
645,apartment,850,1,1,1,1,0,0,0,0,'w/d in unit',unknown,yes
1063,apartment,790,1,1,1,1,1,0,0,0,'w/d in unit',unknown,yes
1313,apartment,1049,2,2,1,1,1,0,0,0,'w/d in unit',unknown,yes
1033,apartment,920,1,1,1,1,1,0,0,0,'w/d in unit',unknown,yes
739,apartment,900,2,1,1,1,0,1,0,1,'w/d hookups','off-street parking',yes
779,apartment,640,1,1,1,1,1,0,0,0,'laundry in bldg','off-street parking',yes
855,apartment,7952,1,1,1,1,0,0,0,0,'w/d hookups','off-street parking',yes
745,apartment,705,1,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1231,apartment,1296,3,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
895,apartment,1050,2,2,1,1,1,0,0,0,'w/d in unit',unknown,yes
755,apartment,1025,2,2,1,1,0,0,0,0,'w/d hookups',unknown,yes
799,apartment,1168,2,2,1,1,1,0,0,0,'w/d in unit',unknown,yes
949,apartment,1225,2,2,1,1,1,0,0,0,'w/d in unit','off-street parking',yes
993,apartment,1139,2,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1005,apartment,1117,2,2,1,1,1,0,0,0,unknown,'off-street parking',yes
729,apartment,800,2,1,1,1,0,1,0,1,'w/d hookups','off-street parking',yes
770,apartment,750,1,1,0,0,1,0,0,0,unknown,unknown,yes
700,house,1900,3,2,1,1,1,0,0,0,'w/d in unit','off-street parking',yes
799,apartment,1000,2,1.5,0,0,1,0,0,0,unknown,unknown,yes
659,apartment,1050,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
779,apartment,640,1,1,1,1,1,0,0,0,unknown,unknown,yes
650,apartment,900,2,1.5,1,1,0,0,0,0,'w/d hookups','off-street parking',yes
650,apartment,730,1,0,1,1,1,0,0,0,'laundry on site','off-street parking',yes
750,house,864,3,2,1,1,1,0,0,0,'w/d in unit',unknown,yes
1100,apartment,1240,2,1,0,0,1,0,0,0,'laundry in bldg','off-street parking',yes
700,apartment,1000,2,1.5,1,1,0,0,0,0,'w/d hookups','off-street parking',yes
968,apartment,1017,2,2,1,1,0,1,1,0,'w/d hookups',unknown,yes
1210,apartment,1095,2,2,1,1,1,0,0,0,'w/d in unit',unknown,yes
1050,apartment,721,1,1,1,1,1,0,0,0,'w/d in unit',unknown,yes
779,apartment,640,1,1,1,1,1,0,0,0,'w/d in unit','off-street parking',yes
895,apartment,1117,2,2,1,1,1,0,0,0,'w/d hookups',unknown,yes
1206,apartment,1282,3,2,1,1,0,0,0,0,'w/d hookups','off-street parking',yes
853,apartment,917,2,2,1,1,0,1,0,0,'w/d hookups','off-street parking',yes
910,apartment,792,1,1,1,1,0,0,0,0,'w/d hookups','off-street parking',yes
1524,apartment,1043,2,2,1,1,0,0,0,0,'w/d in unit','off-street parking',yes
584,house,1913,3,1,0,0,1,0,0,0,unknown,unknown,yes
750,apartment,788,1,1,1,1,1,0,0,0,unknown,'no parking',yes
960,apartment,1064,2,2,1,1,1,0,0,0,unknown,'no parking',yes
1100,apartment,1254,3,2,1,1,1,0,0,0,unknown,'no parking',yes
1029,apartment,1225,3,2,1,1,1,0,0,0,'w/d in unit','off-street parking',yes
455,apartment,754,1,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1165,apartment,1326,3,2,1,1,1,0,0,0,'w/d in unit',unknown,yes
1030,apartment,1117,2,2,1,1,0,0,0,0,'w/d hookups','off-street parking',yes
752,apartment,858,1,1,1,1,1,0,0,0,'w/d in unit','off-street parking',yes
1020,apartment,840,1,1,1,1,0,0,0,1,unknown,'attached garage',yes
1139,apartment,1212,2,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
530,house,770,2,2,1,1,1,0,0,0,unknown,unknown,yes
847,apartment,1402,2,2,0,0,1,0,0,0,'w/d in unit','off-street parking',yes
625,apartment,600,1,1,1,1,0,1,0,1,'laundry on site','off-street parking',yes
875,apartment,1390,2,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
669,apartment,650,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
630,house,620,3,3,0,0,1,0,0,0,unknown,unknown,yes
1495,apartment,1295,2,3,1,1,0,0,0,0,'w/d in unit','off-street parking',yes
895,apartment,800,1,1,0,0,1,0,0,0,'w/d in unit','off-street parking',yes
680,apartment,650,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
1030,apartment,1095,2,2,1,1,1,0,0,0,'w/d in unit',unknown,yes
1485,apartment,749,1,1,1,1,0,0,0,1,'w/d in unit','off-street parking',yes
925,apartment,1190,2,2,1,0,1,0,0,0,'w/d hookups','off-street parking',yes
977,apartment,1139,2,1,1,0,1,0,0,0,'w/d hookups','off-street parking',yes
680,apartment,650,1,1,1,0,1,0,0,0,'laundry on site','off-street parking',yes
779,apartment,869,1,1,1,1,0,1,0,0,'w/d in unit','off-street parking',yes
685,apartment,550,1,1,1,1,1,0,0,0,'laundry on site',unknown,yes
1123,apartment,1438,3,2,1,1,1,1,0,0,'w/d in unit','attached garage',yes
899,apartment,1000,2,2,1,1,1,0,0,0,unknown,unknown,yes
910,apartment,820,1,1,1,1,1,1,0,0,'w/d in unit','attached garage',yes
734,apartment,900,2,1,1,1,0,1,0,1,'w/d hookups','off-street parking',yes
900,house,1365,3,2,1,1,1,1,0,0,'w/d in unit',unknown,yes
560,house,820,2,2,1,1,1,0,0,0,unknown,unknown,yes
700,house,1170,3,1,1,1,1,1,0,1,'w/d in unit','attached garage',yes
759,apartment,1100,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
900,apartment,3314,5,2,1,1,1,0,0,0,'w/d in unit','valet parking',no
842,apartment,915,1,1,1,1,1,1,0,0,'w/d hookups','off-street parking',yes
989,apartment,1225,2,2,1,1,1,0,0,0,'w/d in unit','off-street parking',yes
1325,townhouse,1468,2,2,0,0,0,0,0,0,'w/d in unit','detached garage',yes
719,apartment,900,2,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
719,apartment,900,2,1,1,1,0,0,0,1,'w/d hookups','off-street parking',yes
1050,apartment,830,1,1,1,1,1,0,0,0,'w/d in unit',unknown,yes
949,apartment,918,2,2,0,0,1,0,0,0,'w/d hookups','street parking',yes
950,apartment,900,1,1,0,0,0,0,0,0,'laundry in bldg','off-street parking',yes
750,apartment,750,1,1,1,1,1,0,0,0,unknown,unknown,yes
759,apartment,1050,2,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
963,apartment,1086,2,2,1,1,1,0,0,0,unknown,unknown,yes
1100,condo,620,1,1,0,0,0,0,0,1,'laundry on site','off-street parking',yes
947,apartment,807,1,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
729,apartment,900,1,1,1,1,0,1,0,1,'laundry on site','off-street parking',yes
799,apartment,900,2,1,1,1,0,1,0,1,'laundry on site','off-street parking',yes
1073,apartment,1340,3,2,1,1,1,0,0,0,'w/d hookups',unknown,yes
645,apartment,600,2,1,1,1,0,1,0,1,'w/d hookups','off-street parking',yes
1850,apartment,1924,2,2.5,0,0,1,0,0,0,'w/d in unit',carport,yes
799,apartment,1000,2,1.5,1,1,1,0,0,0,'w/d in unit',unknown,yes
604,townhouse,912,1,1.5,1,1,1,0,0,0,'w/d in unit',unknown,yes
1022,apartment,1208,2,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
960,apartment,1095,2,2,1,1,1,0,0,0,'w/d in unit',unknown,yes
595,apartment,300,0,1,1,1,1,0,0,0,'laundry on site',unknown,yes
485,apartment,405,0,1,1,1,1,0,0,0,'laundry on site',unknown,yes
995,townhouse,1400,2,2.5,0,0,0,0,0,0,'w/d in unit','attached garage',yes
686,apartment,750,1,1,0,0,1,0,0,0,unknown,unknown,yes
765,apartment,700,1,1,1,1,1,0,0,0,'laundry on site',unknown,yes
684,apartment,550,1,1,1,1,1,0,0,0,'laundry on site',unknown,yes
1150,apartment,1326,3,2,0,1,1,0,0,0,'w/d in unit',unknown,yes
700,apartment,800,1,1,0,0,0,0,0,1,'w/d in unit',unknown,yes
980,apartment,1000,2,1,0,0,1,0,0,0,'laundry on site',carport,yes
1239,apartment,751,1,1,1,1,0,0,0,0,'w/d in unit','off-street parking',yes
675,apartment,905,2,2,0,0,1,0,0,0,'w/d in unit','off-street parking',yes
1165,apartment,1095,2,2,1,1,1,0,0,0,'w/d in unit',unknown,yes
800,apartment,1144,1,1.5,0,0,0,0,0,0,'w/d in unit','attached garage',yes
1057,apartment,1208,2,2,1,1,0,0,0,0,'w/d hookups','off-street parking',yes
1775,flat,2027,3,2,1,1,0,1,0,1,'w/d hookups','attached garage',yes
1040,apartment,721,1,1,1,1,1,0,0,0,'w/d in unit',unknown,yes
750,apartment,940,2,1.5,1,1,1,0,0,0,unknown,unknown,yes
990,apartment,721,1,1,1,1,1,0,0,0,'w/d in unit',unknown,yes
1078,apartment,1340,3,2,1,1,1,0,0,0,'w/d hookups',unknown,yes
1028,apartment,1139,2,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
900,apartment,350,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
900,apartment,550,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
1300,apartment,1500,2,1,0,0,0,0,0,0,'w/d in unit','attached garage',yes
1035,apartment,1400,3,2,1,1,0,0,0,0,'w/d hookups',unknown,yes
850,apartment,1200,2,2,1,1,0,0,0,0,'w/d hookups',unknown,yes
715,apartment,1000,2,1,1,1,1,0,0,0,'laundry on site',unknown,yes
790,apartment,1036,2,1,1,1,0,0,0,0,'w/d hookups',unknown,yes
710,apartment,866,1,1,1,1,0,0,0,0,'w/d hookups',unknown,yes
948,apartment,1073,2,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1086,apartment,1128,2,0,1,1,1,0,0,0,unknown,unknown,yes
750,apartment,1036,2,1,1,1,0,0,0,0,'w/d hookups',unknown,yes
960,apartment,1164,2,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
965,apartment,1050,2,2,1,1,1,0,0,0,'w/d in unit','off-street parking',yes
2200,house,1752,3,2.5,0,0,1,0,0,1,'w/d in unit','attached garage',yes
1010,apartment,1400,3,2,1,1,0,0,0,0,'w/d hookups',unknown,yes
1013,apartment,1134,2,1,1,1,1,0,0,0,unknown,unknown,yes
950,apartment,1107,2,2,1,1,1,0,0,0,'w/d in unit',unknown,yes
964,apartment,807,1,1,1,1,1,0,0,0,'w/d in unit',unknown,yes
1500,house,1900,3,2.5,1,1,0,0,0,0,'w/d in unit',carport,yes
1285,apartment,1409,3,2,1,1,1,0,0,0,unknown,unknown,yes
965,apartment,1269,3,2,0,0,1,0,0,0,unknown,unknown,yes
1550,apartment,1504,3,2,1,1,1,1,0,0,'w/d in unit','detached garage',yes
1255,apartment,1251,2,2,1,1,1,1,0,0,'w/d in unit','detached garage',yes
965,apartment,1050,2,2,1,1,1,0,0,0,unknown,unknown,yes
1050,apartment,887,1,1,1,1,1,1,0,0,'w/d in unit','detached garage',yes
1050,apartment,862,1,1,1,1,0,1,0,0,'w/d in unit','detached garage',yes
1255,apartment,1180,2,2,1,1,1,1,0,0,'w/d in unit','detached garage',yes
1550,apartment,1479,3,2,1,1,1,1,0,0,'w/d in unit','detached garage',yes
1255,apartment,1180,2,2,1,1,0,1,0,0,'w/d in unit','detached garage',yes
1550,apartment,1479,3,2,1,1,0,1,0,0,'w/d in unit','detached garage',yes
1050,apartment,862,1,1,1,1,1,1,0,0,'w/d in unit','detached garage',yes
550,house,1140,3,1,0,0,1,0,0,0,'w/d hookups',carport,yes
1166,apartment,1100,2,2,1,1,1,0,0,0,'w/d in unit',unknown,yes
841,apartment,805,1,1,1,1,1,0,0,0,unknown,unknown,yes
1000,house,1900,3,2,1,1,1,1,0,0,'w/d hookups','off-street parking',yes
700,apartment,970,2,1.5,0,0,0,0,0,0,'w/d hookups','off-street parking',yes
1600,townhouse,1850,2,2.5,0,0,1,0,0,0,'w/d in unit',carport,yes
1400,apartment,1750,2,1.5,0,0,1,0,0,0,'w/d in unit','off-street parking',yes
1200,house,1620,3,2,0,0,0,0,0,0,'w/d hookups',carport,yes
1100,house,1350,3,2,0,0,0,0,0,0,unknown,unknown,yes
1000,cottage/cabin,25,1,1,0,0,0,0,0,0,'no laundry on site','off-street parking',yes
1350,apartment,1250,2,1,1,1,1,0,0,0,'w/d in unit','off-street parking',yes
935,apartment,1205,3,2,1,1,0,0,0,0,'w/d hookups','street parking',yes
2275,apartment,1170,2,2,1,1,0,0,0,1,'w/d in unit','off-street parking',yes
750,apartment,940,2,1.5,1,1,1,0,0,0,'w/d hookups','street parking',yes
919,apartment,657,1,1,1,1,1,0,0,0,'w/d in unit',unknown,yes
640,apartment,661,1,1,1,1,1,0,0,0,unknown,'no parking',yes
710,apartment,686,1,1,0,0,1,0,0,0,unknown,unknown,yes
1406,apartment,1562,3,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1255,apartment,1251,2,2,1,1,1,0,0,0,'w/d in unit','detached garage',yes
1190,apartment,1291,3,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
926,apartment,848,1,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1045,apartment,1227,2,2,1,1,1,0,0,0,unknown,unknown,yes
820,apartment,733,1,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1479,apartment,1562,3,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
754,townhouse,1250,2,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
770,apartment,648,1,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
630,apartment,700,1,1,1,1,1,0,0,0,'laundry on site',unknown,yes
804,townhouse,1300,3,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
750,duplex,900,2,1,0,0,0,0,0,0,'w/d hookups',unknown,yes
755,apartment,935,2,2,1,1,0,0,0,0,'w/d hookups','street parking',yes
860,apartment,880,2,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
760,apartment,1000,2,2,1,1,1,0,0,0,'laundry on site',unknown,yes
770,apartment,1000,2,1,1,1,1,0,0,0,'w/d in unit',unknown,yes
1030,apartment,1400,3,2,1,1,0,0,0,0,'w/d hookups',unknown,yes
830,apartment,733,1,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1312,apartment,1407,3,3,1,1,1,0,0,0,'w/d in unit',unknown,yes
878,apartment,892,1,1,1,1,1,0,0,0,unknown,unknown,yes
800,apartment,900,1,1,1,1,0,0,0,0,'w/d hookups','off-street parking',yes
750,apartment,940,2,2.5,1,1,1,0,0,0,'w/d hookups','street parking',yes
720,apartment,650,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
930,apartment,1036,2,1,1,1,0,0,0,0,'w/d hookups',unknown,yes
720,apartment,720,2,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
935,apartment,1205,3,2,0,0,1,0,0,0,unknown,unknown,yes
1379,apartment,1569,2,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
950,apartment,1100,2,2,1,1,0,0,0,0,'w/d hookups','off-street parking',yes
851,apartment,1168,2,2,1,1,1,0,0,0,'w/d in unit',unknown,yes
1144,apartment,1178,2,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1125,apartment,1612,4,2.5,0,0,1,0,0,0,'w/d hookups',carport,no
695,apartment,701,1,1,1,1,1,0,0,0,'w/d hookups','street parking',yes
800,apartment,1073,2,1.5,1,1,1,0,0,0,'w/d hookups','street parking',yes
965,apartment,1550,3,2.5,1,1,1,0,0,0,'w/d hookups',carport,yes
750,apartment,940,2,1.5,1,1,0,0,0,0,'w/d hookups','street parking',yes
1310,apartment,1569,2,1,1,1,1,0,0,0,'w/d hookups','attached garage',yes
1025,apartment,1400,3,2,1,1,0,0,0,0,'w/d hookups',unknown,yes
1429,apartment,1359,3,2,1,1,0,0,0,0,'w/d in unit','off-street parking',yes
846,apartment,845,1,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1235,apartment,1170,2,2,1,1,0,0,0,0,'w/d in unit','off-street parking',yes
695,apartment,701,1,1,1,1,1,0,0,0,'w/d hookups',unknown,yes
1091,apartment,1180,2,2,1,1,1,0,0,0,unknown,unknown,yes
725,apartment,702,2,1,1,1,1,0,0,0,'laundry on site',unknown,yes
485,apartment,405,0,1,1,1,1,1,0,0,'laundry on site',unknown,yes
800,apartment,1100,2,2,0,0,0,0,0,0,'w/d hookups',unknown,yes
920,apartment,1036,2,1,1,1,0,0,0,0,'w/d hookups',unknown,yes
400,house,1100,2,1,0,0,1,0,0,0,'w/d in unit','attached garage',yes
755,apartment,935,2,2,0,0,1,0,0,0,unknown,unknown,yes
900,house,1100,2,1,0,0,1,0,0,0,'w/d in unit','attached garage',yes
900,condo,1200,2,2,1,1,1,0,0,0,'w/d in unit','attached garage',yes
955,apartment,1269,3,2,1,1,0,0,0,0,'w/d hookups','street parking',yes
920,apartment,1205,3,2,1,1,0,0,0,0,'w/d hookups','street parking',yes
851,apartment,917,2,2,1,1,0,1,0,0,'w/d hookups','off-street parking',yes
1150,duplex,1000,3,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1095,apartment,1124,2,2,1,1,1,1,0,0,'w/d in unit',unknown,yes
975,duplex,999,2,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1379,apartment,1569,2,2,1,1,1,0,0,0,'w/d hookups','attached garage',yes
964,apartment,807,1,1,0,0,1,0,0,0,'w/d in unit',unknown,yes
695,apartment,686,1,1,1,1,0,0,0,0,'w/d hookups','street parking',yes
800,house,900,2,1,0,0,1,0,0,0,'w/d hookups','off-street parking',yes
935,apartment,1269,3,2,1,1,0,0,0,0,'w/d hookups','street parking',yes
920,apartment,1205,3,2,0,0,1,0,0,0,unknown,unknown,yes
745,apartment,935,2,2,1,1,0,0,0,0,'w/d hookups','street parking',yes
715,apartment,866,1,1,1,0,0,0,0,0,'w/d hookups',unknown,yes
1016,apartment,1180,2,2,1,1,1,0,0,0,unknown,unknown,yes
1050,apartment,887,1,1,0,0,1,0,0,0,'w/d in unit','detached garage',yes
589,apartment,450,0,1,1,1,1,0,0,0,'laundry on site','street parking',yes
1095,apartment,1124,2,2,1,1,0,1,0,0,'w/d in unit',carport,yes
1480,apartment,1379,3,2,1,1,0,1,0,0,'w/d in unit',carport,yes
1250,apartment,1256,2,2,1,1,0,1,0,0,'w/d in unit',carport,yes
995,apartment,950,1,1,1,1,0,1,0,0,'w/d in unit',carport,yes
635,manufactured,800,2,2,1,1,1,0,0,0,'w/d in unit','off-street parking',yes
795,apartment,675,2,2,1,1,0,0,0,0,'laundry on site',carport,yes
965,apartment,1269,3,2,1,1,0,0,0,0,'w/d hookups','street parking',yes
919,apartment,1238,2,2,1,1,1,0,0,0,'w/d in unit','attached garage',yes
1398,apartment,1638,2,2,1,1,1,0,0,0,'w/d hookups','attached garage',yes
790,apartment,922,2,2,1,1,0,1,0,0,'laundry on site','off-street parking',yes
950,apartment,1507,3,2.5,1,1,1,0,0,0,'w/d hookups',carport,yes
1029,apartment,1049,2,0,1,1,1,0,0,0,'w/d hookups','street parking',yes
810,apartment,1000,2,2,1,1,1,0,0,0,'laundry on site',unknown,yes
700,manufactured,1000,3,3,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
550,house,1200,3,1,1,1,1,0,0,0,'w/d hookups',carport,yes
680,apartment,650,1,1,1,1,1,0,0,0,'w/d in unit','off-street parking',yes
725,apartment,600,1,1,1,1,1,0,0,0,'w/d hookups',unknown,yes
735,apartment,686,1,1,1,1,0,0,0,0,'w/d hookups','street parking',yes
1041,apartment,1180,2,2,1,1,1,0,0,0,unknown,unknown,yes
585,apartment,405,0,1,1,1,1,0,0,0,'laundry on site',unknown,yes
895,apartment,1200,2,1.5,0,0,1,0,0,0,'w/d hookups','street parking',yes
820,apartment,900,2,1,0,0,1,0,0,0,'w/d hookups','street parking',yes
850,apartment,1100,2,1,0,0,1,0,0,0,'w/d hookups','off-street parking',yes
700,apartment,800,2,1,1,1,1,0,0,0,unknown,unknown,yes
950,apartment,1000,2,1.5,1,1,1,0,0,0,'laundry on site','off-street parking',yes
1650,house,1100,3,2,1,1,0,0,0,1,'laundry on site','off-street parking',yes
1550,house,1800,3,2,1,1,0,0,0,0,'w/d hookups','attached garage',yes
730,apartment,866,1,1,1,1,0,0,0,0,'w/d hookups',unknown,yes
1266,apartment,1100,2,2,1,1,1,0,0,0,'w/d in unit',unknown,yes
725,apartment,860,2,1,1,1,1,1,0,0,'laundry on site','off-street parking',yes
1096,apartment,1128,2,0,1,1,1,0,0,0,unknown,unknown,yes
1100,house,1100,3,2,0,0,0,0,0,0,'w/d in unit','attached garage',yes
710,apartment,686,1,1,1,1,0,0,0,0,'w/d hookups','street parking',yes
829,apartment,829,1,1,1,1,1,0,0,0,'w/d in unit',carport,yes
533,apartment,331,1,1,0,0,0,0,0,0,'laundry on site','off-street parking',yes
1015,apartment,1400,3,2,1,1,0,0,0,0,'w/d hookups',unknown,yes
970,apartment,1269,3,2,1,1,0,0,0,0,'w/d hookups','street parking',yes
970,apartment,1269,3,2,0,0,1,0,0,0,unknown,unknown,yes
955,apartment,1269,3,2,0,0,1,0,0,0,unknown,unknown,yes
725,apartment,50,2,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
695,apartment,686,1,1,0,0,1,0,0,0,unknown,unknown,yes
875,apartment,1200,2,2,1,1,0,0,0,0,'w/d hookups',unknown,yes
795,apartment,1036,2,1,1,1,0,0,0,0,'w/d hookups',unknown,yes
735,apartment,686,1,1,0,0,1,0,0,0,unknown,unknown,yes
905,apartment,1036,2,1,1,1,0,0,0,0,'w/d hookups',unknown,yes
1064,apartment,1084,2,2,0,0,1,0,0,0,'w/d in unit',carport,yes
910,apartment,1036,2,1,1,1,0,0,0,0,'w/d hookups',unknown,yes
1550,house,1850,4,2,0,0,0,0,0,0,'w/d hookups','attached garage',no
705,apartment,686,1,1,1,1,0,0,0,0,'w/d hookups','street parking',yes
810,apartment,525,0,1,1,1,1,0,0,0,'laundry in bldg','off-street parking',yes
1040,apartment,985,2,1,1,1,1,0,0,0,'laundry in bldg','off-street parking',yes
850,apartment,860,1,1,1,1,1,0,0,0,'laundry in bldg','off-street parking',yes
875,apartment,800,1,1,1,1,1,0,0,0,'laundry in bldg','off-street parking',yes
900,apartment,800,1,1,1,1,1,0,0,0,'laundry in bldg','off-street parking',yes
785,apartment,775,2,1,1,1,1,0,0,0,'laundry in bldg','off-street parking',yes
805,apartment,1018,2,1,1,1,1,0,0,0,'w/d in unit',unknown,yes
660,apartment,625,1,1,1,1,1,0,0,0,'laundry in bldg','off-street parking',yes
810,apartment,775,2,1,1,1,1,0,0,0,'laundry in bldg','off-street parking',yes
760,apartment,625,1,1,1,1,1,0,0,0,'laundry in bldg','off-street parking',yes
679,apartment,709,1,1,1,1,1,0,0,0,'no laundry on site',unknown,yes
855,apartment,1200,2,2,1,1,0,0,0,0,'w/d hookups',unknown,yes
755,apartment,866,1,1,1,1,0,0,0,0,'w/d hookups',unknown,yes
601,apartment,1100,2,2,1,1,1,0,0,0,'w/d in unit',unknown,yes
853,apartment,892,1,1,1,1,1,0,0,0,unknown,unknown,yes
910,apartment,760,1,1,1,1,1,1,0,0,'w/d hookups',unknown,yes
875,apartment,760,1,1,1,1,1,1,0,0,'w/d hookups',unknown,yes
919,apartment,657,1,1,1,1,0,0,0,0,'w/d in unit',unknown,yes
950,apartment,1107,2,2,1,1,0,0,0,0,'w/d in unit',unknown,yes
700,apartment,200,0,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
625,apartment,50,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
950,house,1368,2,2,0,0,0,0,0,0,'w/d hookups','off-street parking',yes
900,apartment,1500,3,2,0,0,1,0,0,0,'w/d in unit','off-street parking',yes
595,apartment,680,1,1,1,1,1,0,0,1,'laundry on site','off-street parking',yes
