@relation housing_train_cleaned-weka.filters.unsupervised.attribute.Remove-R3-13-weka.filters.unsupervised.attribute.Remove-V-R1-3

@attribute rent numeric
@attribute type {apartment,house,manufactured,townhouse,condo,duplex,flat,cottage/cabin,in-law,loft,land}
@attribute demand {yes,no,unknown}

@data
1400,house,yes
550,apartment,yes
745,apartment,yes
475,house,yes
1200,house,no
650,apartment,yes
1500,house,yes
654,apartment,yes
650,house,yes
225,duplex,yes
675,manufactured,yes
632,apartment,yes
825,apartment,yes
699,townhouse,yes
699,townhouse,yes
1130,apartment,yes
699,apartment,yes
1070,apartment,yes
1090,apartment,yes
995,apartment,yes
995,apartment,yes
930,apartment,yes
700,duplex,yes
1485,apartment,yes
1331,apartment,yes
1348,apartment,yes
958,apartment,yes
1262,apartment,yes
872,apartment,yes
1220,apartment,yes
1060,apartment,yes
1307,apartment,yes
1529,apartment,yes
977,apartment,yes
1085,apartment,yes
1495,apartment,yes
1195,apartment,yes
1007,apartment,yes
1343,apartment,yes
1264,apartment,yes
1518,apartment,yes
1884,apartment,yes
1450,apartment,yes
1103,apartment,yes
995,apartment,yes
1750,house,yes
1710,apartment,yes
1244,apartment,yes
950,apartment,yes
1133,apartment,yes
1000,house,yes
799,apartment,yes
976,apartment,yes
950,apartment,yes
899,apartment,yes
799,apartment,yes
700,house,yes
550,house,no
799,apartment,yes
849,apartment,yes
965,apartment,yes
1000,apartment,yes
820,apartment,yes
789,apartment,yes
909,apartment,yes
779,apartment,yes
810,apartment,yes
850,apartment,yes
855,apartment,yes
935,apartment,yes
799,apartment,yes
739,apartment,yes
1049,apartment,yes
899,apartment,yes
630,house,yes
1382,apartment,yes
739,apartment,yes
825,apartment,yes
689,apartment,yes
998,apartment,yes
1009,apartment,yes
1319,apartment,yes
951,apartment,yes
907,apartment,yes
769,apartment,yes
1040,apartment,yes
1091,apartment,yes
985,apartment,yes
830,apartment,yes
800,apartment,yes
585,apartment,yes
1065,apartment,yes
1055,apartment,yes
1500,house,yes
899,apartment,yes
530,house,yes
570,house,yes
835,apartment,yes
995,apartment,yes
1240,apartment,yes
885,apartment,yes
695,manufactured,yes
968,apartment,yes
847,apartment,yes
745,apartment,yes
1075,apartment,yes
830,apartment,yes
985,apartment,yes
899,apartment,yes
749,apartment,yes
644,apartment,yes
979,apartment,yes
839,apartment,yes
1001,apartment,yes
995,house,yes
601,house,no
864,house,yes
899,apartment,yes
739,apartment,yes
590,apartment,yes
995,apartment,yes
1402,apartment,yes
799,apartment,yes
855,apartment,yes
550,apartment,yes
995,apartment,yes
890,apartment,yes
895,apartment,yes
869,apartment,yes
1189,apartment,yes
980,apartment,yes
1238,apartment,yes
500,house,yes
785,apartment,yes
550,apartment,yes
650,apartment,yes
560,apartment,yes
699,apartment,yes
946,apartment,yes
719,apartment,yes
749,apartment,yes
850,apartment,yes
740,apartment,yes
839,apartment,yes
1540,apartment,yes
660,apartment,yes
750,apartment,yes
530,house,yes
630,house,yes
1005,apartment,yes
1095,apartment,yes
600,house,yes
850,apartment,yes
895,house,yes
1080,apartment,yes
1000,house,yes
1015,apartment,yes
732,apartment,yes
719,apartment,yes
650,house,yes
975,house,yes
899,apartment,yes
1190,apartment,yes
990,apartment,yes
1126,apartment,yes
855,apartment,yes
968,apartment,yes
1375,apartment,yes
1070,apartment,yes
853,apartment,yes
620,apartment,yes
699,apartment,yes
975,apartment,yes
845,apartment,yes
360,manufactured,yes
330,manufactured,yes
330,manufactured,yes
395,apartment,yes
759,apartment,yes
510,house,yes
1050,apartment,yes
679,apartment,yes
1038,apartment,yes
685,apartment,yes
650,apartment,yes
1045,apartment,yes
971,apartment,yes
500,house,yes
629,apartment,yes
695,townhouse,yes
525,townhouse,yes
425,apartment,yes
875,apartment,yes
520,house,yes
674,apartment,yes
1005,apartment,yes
855,apartment,yes
400,apartment,yes
835,apartment,yes
1100,house,no
500,apartment,yes
650,apartment,yes
400,manufactured,yes
1850,apartment,no
1265,apartment,yes
749,apartment,yes
1265,apartment,yes
749,apartment,yes
850,house,yes
699,apartment,yes
980,apartment,yes
540,house,yes
799,apartment,yes
530,house,yes
779,apartment,yes
660,apartment,yes
1329,apartment,yes
600,house,yes
808,apartment,yes
825,apartment,yes
1200,apartment,yes
1315,apartment,yes
920,apartment,yes
